Date,VIC
3/4/2020,10
3/5/2020,10
3/6/2020,10
3/7/2020,11
3/8/2020,12
3/9/2020,15
3/10/2020,19
3/11/2020,22
3/12/2020,27
3/13/2020,36
3/14/2020,49
3/15/2020,57
3/16/2020,71
3/17/2020,94
3/18/2020,121
3/19/2020,150
3/20/2020,178
3/21/2020,229
3/22/2020,296
3/23/2020,355
3/24/2020,411
3/25/2020,466
3/26/2020,520
3/27/2020,574
3/28/2020,685
3/29/2020,769
3/30/2020,821
3/31/2020,917
